Year, GDP_Nominal 
2018,660.878
2019,689.425
2020,664.01
2021,721.597
2022,772.961
2023,847.578
2024,904.581
2025,963.054
2026,1024.11
2027,1086.71
2028,1141.0455
2029,1198.097775
2030,1258.002664
