,citax_2020,Net_accounting_profit_2020,citax_ref_2020,Net_accounting_profit_ref_2020,citax_ref_2021,Net_accounting_profit_ref_2021,citax_ref_2022,Net_accounting_profit_ref_2022,citax_ref_2023,Net_accounting_profit_ref_2023,citax_ref_2024,Net_accounting_profit_ref_2024,citax_ref_2025,Net_accounting_profit_ref_2025,ETR,ETR_ref
49,"137,733.3206","451,804.1795","137,733.3206","451,804.1795","137,733.3206","451,804.1795","183,644.4275","451,804.1795","183,644.4275","451,804.1795","183,644.4275","451,804.1795","183,644.4275","451,804.1795",0.3049,0.3049
50,"150,920.9602","534,448.0769","150,920.9602","534,448.0769","152,154.7164","534,448.0769","202,872.9552","534,448.0769","202,872.9552","534,448.0769","202,872.9552","534,448.0769","202,872.9552","534,448.0769",0.2824,0.2824
51,"210,059.4477","614,821.7750","210,059.4477","614,821.7750","210,059.4477","614,821.7750","280,079.2636","614,821.7750","280,079.2636","614,821.7750","280,079.2636","614,821.7750","280,079.2636","614,821.7750",0.3417,0.3417
52,"193,530.6334","679,580.8718","193,530.6334","679,580.8718","193,530.6334","679,580.8718","258,040.8446","679,580.8718","258,040.8446","679,580.8718","258,040.8446","679,580.8718","258,040.8446","679,580.8718",0.2848,0.2848
53,"249,410.2768","774,979.4000","249,410.2768","774,979.4000","249,410.2787","774,979.4000","332,547.0383","774,979.4000","332,547.0383","774,979.4000","332,547.0383","774,979.4000","332,547.0383","774,979.4000",0.3218,0.3218
54,"518,444.3878","887,004.0513","518,444.3878","887,004.0513","541,939.3955","887,004.0513","722,585.8607","887,004.0513","722,585.8607","887,004.0513","722,585.8607","887,004.0513","722,585.8607","887,004.0513",0.5845,0.5845
55,"769,864.4392","1,013,911.6000","769,864.4392","1,013,911.6000","771,874.0773","1,013,911.6000","1,029,165.4364","1,013,911.6000","1,029,165.4364","1,013,911.6000","1,029,165.4364","1,013,911.6000","1,029,165.4364","1,013,911.6000",0.7593,0.7593
56,"463,898.4958","1,174,493.2308","463,898.4958","1,174,493.2308","463,898.4958","1,174,493.2308","611,917.3009","1,174,493.2308","611,917.3009","1,174,493.2308","611,917.3009","1,174,493.2308","611,917.3009","1,174,493.2308",0.3950,0.3950
57,"390,094.7726","1,380,082.7000","390,094.7726","1,380,082.7000","390,094.7726","1,380,082.7000","520,126.3634","1,380,082.7000","520,126.3634","1,380,082.7000","520,126.3634","1,380,082.7000","520,126.3634","1,380,082.7000",0.2827,0.2827
58,"514,809.8658","1,610,301.9231","514,809.8658","1,610,301.9231","527,682.8716","1,610,301.9231","703,577.1621","1,610,301.9231","703,577.1621","1,610,301.9231","703,577.1621","1,610,301.9231","703,577.1621","1,610,301.9231",0.3197,0.3197
59,"1,086,886.4373","1,842,108.4103","1,086,886.4373","1,842,108.4103","1,089,270.6991","1,842,108.4103","1,441,240.6995","1,842,108.4103","1,441,240.6995","1,842,108.4103","1,441,240.6995","1,842,108.4103","1,441,240.6995","1,842,108.4103",0.5900,0.5900
60,"645,620.0472","2,124,030.5750","645,620.0472","2,124,030.5750","645,620.0472","2,124,030.5750","860,826.7297","2,124,030.5750","860,826.7297","2,124,030.5750","860,826.7297","2,124,030.5750","860,826.7297","2,124,030.5750",0.3040,0.3040
61,"787,525.9044","2,448,581.1538","787,525.9044","2,448,581.1538","788,906.9660","2,448,581.1538","1,051,875.9546","2,448,581.1538","1,051,875.9546","2,448,581.1538","1,051,875.9546","2,448,581.1538","1,051,875.9546","2,448,581.1538",0.3216,0.3216
62,"2,431,050.9723","2,821,715.8250","2,431,050.9723","2,821,715.8250","2,437,520.5605","2,821,715.8250","3,250,027.4140","2,821,715.8250","3,250,027.4140","2,821,715.8250","3,250,027.4140","2,821,715.8250","3,250,027.4140","2,821,715.8250",0.8616,0.8616
63,"1,072,928.3091","3,217,120.2308","1,072,928.3091","3,217,120.2308","1,105,272.4139","3,217,120.2308","1,473,696.5519","3,217,120.2308","1,473,696.5519","3,217,120.2308","1,473,696.5519","3,217,120.2308","1,473,696.5519","3,217,120.2308",0.3335,0.3335
64,"1,349,279.5477","3,723,629.4750","1,349,279.5477","3,723,629.4750","1,349,279.5477","3,723,629.4750","1,796,538.4807","3,723,629.4750","1,796,538.4807","3,723,629.4750","1,796,538.4807","3,723,629.4750","1,796,538.4807","3,723,629.4750",0.3624,0.3624
65,"1,923,006.3060","4,200,853.4872","1,923,006.3060","4,200,853.4872","1,945,808.9599","4,200,853.4872","2,454,928.3388","4,200,853.4872","2,454,928.3388","4,200,853.4872","2,454,928.3388","4,200,853.4872","2,454,928.3388","4,200,853.4872",0.4578,0.4578
66,"1,099,104.0613","4,769,207.8750","1,099,104.0613","4,769,207.8750","1,099,104.0635","4,769,207.8750","1,465,472.0847","4,769,207.8750","1,465,472.0847","4,769,207.8750","1,465,472.0847","4,769,207.8750","1,465,472.0847","4,769,207.8750",0.2305,0.2305
67,"1,275,247.7792","5,295,232.9231","1,275,247.7792","5,295,232.9231","1,275,247.7792","5,295,232.9231","1,700,330.3722","5,295,232.9231","1,700,330.3722","5,295,232.9231","1,700,330.3722","5,295,232.9231","1,700,330.3722","5,295,232.9231",0.2408,0.2408
68,"1,312,891.3093","6,068,834.1000","1,312,891.3093","6,068,834.1000","1,425,388.1629","6,068,834.1000","1,900,517.5506","6,068,834.1000","1,900,517.5506","6,068,834.1000","1,900,517.5506","6,068,834.1000","1,900,517.5506","6,068,834.1000",0.2163,0.2163
69,"3,654,838.9511","6,790,186.3846","3,654,838.9511","6,790,186.3846","3,654,838.9511","6,790,186.3846","4,258,958.4938","6,790,186.3846","4,258,958.4938","6,790,186.3846","4,258,958.4938","6,790,186.3846","4,258,958.4938","6,790,186.3846",0.5383,0.5383
70,"1,713,158.1555","7,519,469.8974","1,713,158.1555","7,519,469.8974","1,760,312.1982","7,519,469.8974","2,347,082.9309","7,519,469.8974","2,347,082.9309","7,519,469.8974","2,347,082.9309","7,519,469.8974","2,347,082.9309","7,519,469.8974",0.2278,0.2278
71,"1,976,478.7393","8,550,457.0000","1,976,478.7393","8,550,457.0000","1,980,412.6224","8,550,457.0000","2,640,550.1632","8,550,457.0000","2,640,550.1632","8,550,457.0000","2,640,550.1632","8,550,457.0000","2,640,550.1632","8,550,457.0000",0.2312,0.2312
72,"6,096,861.8661","9,691,465.0256","6,096,861.8661","9,691,465.0256","6,096,861.8661","9,691,465.0256","7,054,982.2234","9,691,465.0256","7,054,982.2234","9,691,465.0256","7,054,982.2234","9,691,465.0256","7,054,982.2234","9,691,465.0256",0.6291,0.6291
73,"4,130,435.2246","10,972,034.8750","4,130,435.2246","10,972,034.8750","4,151,486.1675","10,972,034.8750","5,535,314.8900","10,972,034.8750","5,535,314.8900","10,972,034.8750","5,535,314.8900","10,972,034.8750","5,535,314.8900","10,972,034.8750",0.3765,0.3765
