Taxpayer_ID1,Taxpayer_ID,Year,Tax due,Sector,Sector_Code,Revenues,Other_revenues,Expenses,Net_accounting_profit,Donations_NGO,Donations_Others,Other_additions,Total_additions_to_GP,Total_taxable_profit,Tax_depreciation,Other_deductions,Net_taxable_profit,Donations_allowed,Carried_forward_losses,Tax_base,Exemptions,Investment_incentive,Net_tax_base,Exchange_rate,Net_tax_base_Egyp_Pounds,Donations_Govt,Loss_lag8,Loss_lag7,Loss_lag6,Loss_lag5,Loss_lag4,Loss_lag3,Loss_lag2,Loss_lag1,Op_WDV_Bld,Add_Bld,Excl_Bld,Clg_WDV_Bld,Dep_Bld,Op_WDV_Intang,Add_Intang,Excl_Intang,Clg_WDV_Intang,Dep_Intang,Op_WDV_Mach,Add_Mach,Excl_Mach,Clg_WDV_Mach,Dep_Mach,Op_WDV_Others,Add_Others,Excl_Others,Clg_WDV_Others,Dep_Others,Op_WDV_Comp,Add_Comp,Excl_Comp,Clg_WDV_Comp,Dep_Comp
2000000835.00,2000000835.00,2020,77039,Gen Business,3,21835093,196184,21762377,268900,0,0,757091,757091,1025991,683597,0,342394,0,0,342394,0,0,342394,1,342394,0,0,0,0,0,0,0,0,0,6016020,0,0,0,0,0,0,0,0,0,279643,0,0,0,0,1047275,30252,0,0,0,49448,37559,0,0,0
2000000836.00,2000000836.00,2020,56918,Gen Business,3,5768480,0,5515512,252968,0,0,8774,8774,261742,8774,0,252968,0,0,252968,0,0,252968,1,252968,0,0,0,0,0,0,0,0,0,10102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000839.00,2000000839.00,2020,0,Gen Business,3,9648686,1237814,11566849,-680349,0,0,2791750,2791750,2111401,8700202,1237814,-7826615,0,0,-7826615,0,0,-7826615,1,-7826615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25382275,10985968,1570000,0,0,641,0,0,0,0
2000000840.00,2000000840.00,2020,0,Gen Business,3,28296735,426790,34144282,-5420757,0,0,1503881,1503881,-3916876,1186951,0,-5103827,0,0,-5103827,0,0,-5103827,1,-5103827,0,0,0,0,0,0,0,0,0,370399,0,0,0,0,0,0,0,0,0,4542531,0,0,0,0,127193,4000,0,0,0,0,0,0,0,0
2000000844.00,2000000844.00,2020,339257,Gen Business,3,40095095,0,39047311,1047784,0,0,739391,739391,1787175,279364,0,1507811,0,0,1507811,0,0,1507811,1,1507811,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,468464,974,0,0,0,219906,104103,0,0,0
2000000846.00,2000000846.00,2020,0,Gen Business,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000848.00,2000000848.00,2020,0,Gen Business,3,0,28904,195438,-166534,0,0,125000,125000,-41534,0,0,-41534,0,334047,-375581,0,0,-375581,1,-375581,0,0,0,0,49933,47159,55596,50043,131316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2000000849.00,2000000849.00,2020,679585,Gen Business,3,70995342,0,68804653,2190689,0,0,1137352,1137352,3328041,307661,0,3020380,0,0,3020380,0,0,3020380,1,3020380,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158125,980000,0,0,0,46260,0,0,0,0
2000000852.00,2000000852.00,2020,33285,Gen Business,3,3090343,0,2964555,125788,0,0,210750,210750,336538,188603,0,147935,0,0,147935,0,0,147935,1,147935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,754411,0,0,0,0,0,0,0,0,0
2000000853.00,2000000853.00,2020,0,Gen Business,3,21765221,4869431,38111569,-11476917,0,0,3581640,3581640,-7895277,29842,28870,-7953989,0,105324653,-113278642,0,0,-113278642,1,-113278642,0,0,0,0,0,0,51281337,91341522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,504235,267116,675387,0,0,39668,0,33817,0,0
