level_0,index,FILING_SEQ_NO,Year,ID_NO,BUS_CODE1,PROFIT_BFOR_INTRST_DEPRCTN_TAX,INTEREST_EXPENSES,DEPRECIATION_EXPENSES,PROFIT_BEFORE_TAXES,PROFIT_AFTER_TAX,INCOME_HP,PRFT_GAIN_BP_OTHR_SPECLTV_BUS_AFTER_DEP,TOT_DEP_PM,PRFT_GAIN_BP_OTHR_SPECLTV_BUS,PRFT_GAIN_BP_SPECLTV_BUS,PRFT_GAIN_BP_SPCFD_BUS,dep_amt_pm,TOTAL_PROFTS_GAINS_BP,ST_CG_AMT_1,ST_CG_AMT_2,ST_CG_AMT_APPRATE,TOTAL_SCTG,LT_CG_AMT_1,LT_CG_AMT_2,TOTAL_LTCG,TOTAL_CAP_GAIN,INC_SPL_111A_112,INC_SPL_RATE_NONCG,INCOME_OS_NOT_RACEHORSE,INC_CHARBLE_SPL_RATE,INCOME_OS_RACEHORSE,TOTAL_INCOME_OS,GTI_BEFORE_LOSSES,CY_Losses,GTI_AFTR_CYL_SET_OFF,BFL_SET_OFF_BALANCE,GTI_AFTER_LOSS,TOTAL_CAP_GAIN,INC_SPL_111A_112,DEDUCT_SEC_10A_OR_10AA,PARTB_CHAPTER_VIA,PARTC_CHAPTER_VIA,TOTAL_DEDUC_VIA,TOTAL_INCOME,INC_CHG_TAX_SPL_RATES,INC_CHG_TAX_NORMAL_RATES,NET_AGRC_INCOME,CY_LOSS_CARRYFWD,CRDT_SEC_115JAA_TAX_PAID_EYRS,TAX_PAYABLE_AFTR_CRED_115JAA,RELIEF_90,RELIEF_91,TOTAL_RELIEF,NET_TAX_LIABILTY,INT_PAYABLE_234A,INT_PAYABLE_234B,INT_PAYABLE_234C,TOTAL_INT_PAYABLE,ADVANCE_TAX,TOTAL_TDS,TOTAL_TCS,SELF_ASSESMNT_TAX,TOTAL_TAX_PAID,TAX_PAYBL,REFUND_AMOUNT,DEEMED_TI_SEC115JB,TAX_DEEMED_TI_SEC115JB,DEEMED_TI_SURCHARGE,EDUCATION_CESS_SEC115JC,TOTAL_TAX_PAYBL_SEC115JC,TAX_NORMAL_RATE,TAX_SI_RATE,TAX_PAYABL_TOT_INCOM,SURCHARGE_BALANCE_TAX_PAYABLE,EDUCATION_CESS,GROSS_TAX_LIABILITY,GROSS_TAX_PAYABLE,AGGREGATE_LIABILTY,AMT_ANY_DIVIDEND_DECLRD,PADDTNS_180_DAYS__MOR_PY_15P,PADDTNS_180_DAYS__MOR_PY_30P,PADDTNS_180_DAYS__MOR_PY_40P,PADDTNS_180_DAYS__MOR_PY_50P,PADDTNS_180_DAYS__MOR_PY_60P,PADDTNS_180_DAYS__MOR_PY_80P,PADDTNS_180_DAYS__MOR_PY_100P,PADDTNS_LESS_180_DAYS_15P,PADDTNS_LESS_180_DAYS_30P,PADDTNS_LESS_180_DAYS_40P,PADDTNS_LESS_180_DAYS_50P,PADDTNS_LESS_180_DAYS_60P,PADDTNS_LESS_180_DAYS_80P,PADD_VALLESS180DAY_PRV_YR_100P,PADDTNL_DEPRECTN_ANY_4_15P,PADDTNL_DEPRECTN_ANY_4_30P,PADDTNL_DEPRECTN_ANY_4_40P,PADDTNL_DEPRECTN_ANY_4_50P,PADDTNL_DEPRECTN_ANY_4_60P,PADDTNL_DEPRECTN_ANY_4_80P,PADDTNL_DEPRECTN_ANY_4_100P,PADDTNL_DEPRECTN_ANY_7_15P,PADDTNL_DEPRECTN_ANY_7_30P,PADDTNL_DEPRECTN_ANY_7_40P,PADDTNL_DEPRECTN_ANY_7_50P,PADDTNL_DEPRECTN_ANY_7_60P,PADDTNL_DEPRECTN_ANY_7_80P,PADDTNL_DEPRECTN_ANY_7_100P,BADDTNS_180_DAYS__MOR_PY_5P,BADDTNS_180_DAYS__MOR_PY_10P,BADDTNS_180_DAYS__MOR_PY_100P,BADDTNS_LESS_180_DAYS_5P,BADDTNS_LESS_180_DAYS_10P,BADDTNS_LESS_180_DAYS_100P,BADDTNL_DEPRECTN_ANY_4_5P,BADDTNL_DEPRECTN_ANY_4_10P,BADDTNL_DEPRECTN_ANY_4_100P,BADDTNL_DEPRECTN_ANY_7_5P,BADDTNL_DEPRECTN_ANY_7_10P,BADDTNL_DEPRECTN_ANY_7_100P,FADDTNS_180_DAYS__MOR_PY_10P,FADDTNS_LESS_180_DAYS_10P,FADDTNL_DEPRECTN_ANY_4_10P,FADDTNL_DEPRECTN_ANY_7_10P,IADDTNS_180_DAYS__MOR_PY_10P,IADDTNS_LESS_180_DAYS_10P,IADDTNL_DEPRECTN_ANY_4_10P,IADDTNL_DEPRECTN_ANY_7_10P,SADDTNS_180_DAYS__MOR_PY_10P,SADDTNS_LESS_180_DAYS_10P,SADDTNL_DEPRECTN_ANY_4_10P,SADDTNL_DEPRECTN_ANY_7_10P,PWR_DOWN_VAL_1ST_DAY_PY_15P,PWR_DOWN_VAL_1ST_DAY_PY_30P,PWR_DOWN_VAL_1ST_DAY_PY_40P,PWR_DOWN_VAL_1ST_DAY_PY_50P,PWR_DOWN_VAL_1ST_DAY_PY_60P,PWR_DOWN_VAL_1ST_DAY_PY_80P,PWR_DOWN_VAL_1ST_DAY_PY_100P,PCR34_PY_15P,PCR34_PY_30P,PCR34_PY_40P,PCR34_PY_50P,PCR34_PY_60P,PCR34_PY_80P,PCR34_PY_100P,PAMT_DEPRECTN_FULL_RATE_15P,PAMT_DEPRECTN_FULL_RATE_30P,PAMT_DEPRECTN_FULL_RATE_40P,PAMT_DEPRECTN_FULL_RATE_50P,PAMT_DEPRECTN_FULL_RATE_60P,PAMT_DEPRECTN_FULL_RATE_80P,PAMT_DEPRECTN_FULL_RATE_100P,PCR7_PY_15P,PCR7_PY_30P,PCR7_PY_40P,PCR7_PY_50P,PCR7_PY_60P,PCR7_PY_80P,PCR7_PY_100P,PAMT_DEP_HALF_RATE_ALLWD_15P,PAMT_DEP_HALF_RATE_ALLWD_30P,PAMT_DEP_HALF_RATE_ALLWD_40P,PAMT_DEP_HALF_RATE_ALLWD_50P,PAMT_DEP_HALF_RATE_ALLWD_60P,PAMT_DEP_HALF_RATE_ALLWD_80P,PAMT_DEP_HALF_RATE_ALLWD_100P,PDEPRECTN_6_FULL_RATE_15P,PDEPRECTN_6_FULL_RATE_30P,PDEPRECTN_6_FULL_RATE_40P,PDEPRECTN_6_FULL_RATE_50P,PDEPRECTN_6_FULL_RATE_60P,PDEPRECTN_6_FULL_RATE_80P,PDEPRECTN_6_FULL_RATE_100P,PDEPRECTN_9_HALF_RATE_15P,PDEPRECTN_9_HALF_RATE_30P,PDEPRECTN_9_HALF_RATE_40P,PDEPRECTN_9_HALF_RATE_50P,PDEPRECTN_9_HALF_RATE_60P,PDEPRECTN_9_HALF_RATE_80P,PDEPRECTN_9_HALF_RATE_100P,PTOTAL_DEPRCTN_15P,PTOTAL_DEPRCTN_30P,PTOTAL_DEPRCTN_40P,PTOTAL_DEPRCTN_50P,PTOTAL_DEPRCTN_60P,PTOTAL_DEPRCTN_80P,PTOTAL_DEPRCTN_100P,TOT_DEPR_PM,PEXP_INCURRD_TRF_ASSTS_15P,PEXP_INCURRD_TRF_ASSTS_30P,PEXP_INCURRD_TRF_ASSTS_40P,PEXP_INCURRD_TRF_ASSTS_50P,PEXP_INCURRD_TRF_ASSTS_60P,PEXP_INCURRD_TRF_ASSTS_80P,PEXP_INCURRD_TRF_ASSTS_100P,PCAP_GAINS_LOSS_SEC50_15P,PCAP_GAINS_LOSS_SEC50_30P,PCAP_GAINS_LOSS_SEC50_40P,PCAP_GAINS_LOSS_SEC50_50P,PCAP_GAINS_LOSS_SEC50_60P,PCAP_GAINS_LOSS_SEC50_80P,PCAP_GAINS_LOSS_SEC50_100P,PWRTN_DWN_VAL_LAST_DAY_PY_15P,PWRTN_DWN_VAL_LAST_DAY_PY_30P,PWRTN_DWN_VAL_LAST_DAY_PY_40P,PWRTN_DWN_VAL_LAST_DAY_PY_50P,PWRTN_DWN_VAL_LAST_DAY_PY_60P,PWRTN_DWN_VAL_LAST_DAY_PY_80P,PWRTN_DWN_VAL_LAST_DAY_PY_100P,BWRTN_DOWN_VAL_1ST_DAY_PY_5P,BWRTN_DOWN_VAL_1ST_DAY_PY_10P,BWRTN_DOWN_VAL_1ST_DAY_PY_100P,BCR34_PY_5P,BCR34_PY_10P,BCR34_PY_100P,BAMT_DEPR_FULL_RATE_5P,BAMT_DEPR_FULL_RATE_10P,BAMT_DEPR_FULL_RATE_100P,BCR7_PY_5P,BCR7_PY_10P,BCR7_PY_100P,BAMT_DEP_HALF_RATE_ALLWD_5P,BAMT_DEP_HALF_RATE_ALLWD_10P,BAMT_DEP_HALF_RATE_ALLWD_100P,BDEPRECTN_6_FULL_RATE_5P,BDEPRECTN_6_FULL_RATE_10P,BDEPRECTN_6_FULL_RATE_100P,BDEPRECTN_9_HALF_RATE_5P,BDEPRECTN_9_HALF_RATE_10P,BDEPRECTN_9_HALF_RATE_100P,BTOTAL_DEPRCTN_5P,BTOTAL_DEPRCTN_10P,BTOTAL_DEPRCTN_100P,BEXP_INCURRD_TRF_ASSTS_5P,BEXP_INCURRD_TRF_ASSTS_10P,BEXP_INCURRD_TRF_ASSTS_100P,BCAP_GAINS_LOSS_SEC50_5P,BCAP_GAINS_LOSS_SEC50_10P,BCAP_GAINS_LOSS_SEC50_100P,BWRTN_DWN_VAL_LAST_DAY_PY_5P,BWRTN_DWN_VAL_LAST_DAY_PY_10P,BWRTN_DWN_VAL_LAST_DAY_PY_100P,FWRTN_DOWN_VAL_1ST_DAY_PY_10P,FCR34_PY_10P,FAMT_DEPRECTN_FULL_RATE_10P,FCR7_PY_10P,FAMT_DEP_HALF_RATE_ALLWD_10P,FDEPRECTN_6_FULL_RATE_10P,FDEPRECTN_9_HALF_RATE_10P,FTOTAL_DEPRCTN_10P,FEXP_INCURRD_TRF_ASSTS_10P,FCAP_GAINS_LOSS_SEC50_10P,FWRTN_DOWN_VAL_LAST_DAY_PY_10P,IWRTN_DOWN_VAL_1ST_DAY_PY_10P,ICR34_PY_10P,IAMT_DEPRECTN_FULL_RATE_10P,ICR7_PY_10P,IAMT_DEP_HALF_RATE_ALLWD_10P,IDEPRECTN_6_FULL_RATE_10P,IDEPRECTN_9_HALF_RATE_10P,ITOTAL_DEPRCTN_10P,IEXP_INCURRD_TRF_ASSTS_10P,ICAP_GAINS_LOSS_SEC50_10P,IWRTN_DOWN_VAL_LAST_DAY_PY_10P,SWRTN_DOWN_VAL_1ST_DAY_PY_10P,SCR34_PY_10P,SAMT_DEPRECTN_FULL_RATE_10P,SCR7_PY_10P,SAMT_DEP_HALF_RATE_ALLWD_10P,SDEPRECTN_6_FULL_RATE_10P,SDEPRECTN_9_HALF_RATE_10P,STOTAL_DEPRCTN_10P,SEXP_INCURRD_TRF_ASSTS_10P,SCAP_GAINS_LOSS_SEC50_10P,SWRTN_DOWN_VAL_LAST_DAY_PY_10P,LOSS_LAG1,LOSS_LAG2,LOSS_LAG3,LOSS_LAG4,LOSS_LAG5,LOSS_LAG6,LOSS_LAG7,LOSS_LAG8,MAT_LAG1,MAT_LAG2,MAT_LAG3,MAT_LAG4,MAT_LAG5,MAT_LAG6,MAT_LAG7,MAT_LAG8,MAT_LAG9,MAT_LAG10,MAT_LAG11,MAT_LAG12,MAT_LAG13,MAT_LAG14,MAT_LAG15
156,780,196,2017,225741,1001,-2045,0,0,-2045,-2045,0,0,139,139,0,0,139,139,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,0,139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,785,197,2017,225764,505,19524903,9040358,24838542,-14353997,-14353997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11804733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14353997,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
158,790,198,2017,228753,124,305763,97806,101159,106798,72225,0,79176,0,79176,0,0,0,79176,0,0,0,0,0,0,0,0,0,,0,0,0,0,79176,0,79176,0,79176,0,0,0,0,0,0,79180,0,79180,0,0,0,23651,0,0,0,23651,0,0,0,0,30000,0,0,0,30000,0,6350,106798,19758,0,593,20351,22962,0,22962,0,689,23651,23651,23651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
159,795,199,2017,229134,714,133176,23376,0,109800,66298,0,130500,0,130500,0,0,0,130500,0,0,0,0,0,0,0,0,0,,0,0,0,0,130500,0,130500,0,130500,0,0,0,0,0,0,130500,0,130500,0,0,0,38986,0,0,0,38986,0,0,0,0,0,45846,0,0,45846,0,6860,66298,12265,0,368,12633,37850,0,37850,0,1136,38986,38986,38986,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
160,800,200,2017,231435,204,183199,0,0,183199,122768,0,55892,0,55892,0,0,0,55892,0,0,127307,127307,0,0,0,127307,0,,0,0,0,0,183199,0,183199,0,183199,127307,0,0,0,0,0,183200,0,183200,0,0,0,54722,0,0,0,54722,0,3318,2391,5709,0,7303,0,53128,60431,0,0,183199,33892,0,1017,34909,53128,0,53128,0,1594,54722,54722,60431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
161,805,201,2017,232151,202,-149774,39917,0,-189691,-189691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,189691,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
162,810,202,2017,233781,202,1972654,0,5674,1966980,1359183,0,1966983,5671,1972654,0,0,5671,1972654,0,0,0,0,0,0,0,0,0,,0,0,0,0,1966983,0,1966983,0,1966983,0,0,0,0,0,0,1966980,0,1966980,0,0,0,587537,0,0,0,587537,0,0,10915,10915,540000,0,0,59930,599930,0,1480,1966980,363891,0,10917,374808,570424,0,570424,0,17113,587537,587537,598452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37806,0,0,0,0,0,0,0,0,0,0,0,0,0,37806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5671,0,0,0,0,0,0,0,0,0,0,0,0,0,5671,0,0,0,0,0,0,5671,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
163,815,203,2017,235715,707,323513480,157447190,115874786,50191504,189769286,0,77361127,0,77361127,0,0,0,77361127,0,0,0,0,0,0,0,0,0,,4570446,0,0,4570446,81931573,0,81931573,81931573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65613340,0,0,65613340,0,65613340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81931573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
164,820,204,2017,237346,204,2939824,30057,1766941,1142826,959097,0,2348553,391541,2740094,0,0,391541,2740094,0,0,0,0,0,0,0,0,0,,110548,0,0,110548,2459101,0,2459101,2175474,283627,0,0,0,0,0,0,283630,0,283630,0,0,0,217765,0,0,0,217765,0,17416,10991,28407,0,0,0,248350,248350,0,2180,1142826,211423,0,6342,217765,85089,0,85089,0,2553,87642,217765,246172,0,134831,0,0,0,0,0,0,1330000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184643,0,0,0,0,0,0,0,0,0,0,1450935,0,0,0,89877,0,0,0,0,0,0,0,0,0,1585766,0,0,0,89877,0,0,0,0,0,0,0,0,0,1330000,0,0,0,0,0,0,237865,0,0,0,53926,0,0,99750,0,0,0,0,0,0,337615,0,0,0,53926,0,0,391541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2578151,0,0,0,35951,0,0,3556711,7543094,0,0,0,0,3556711,7543094,0,0,0,0,0,0,0,177836,754309,0,0,0,0,177836,754309,0,0,0,0,0,0,0,3378875,6788785,0,1699952,0,1699952,0,184643,169995,9232,179227,0,0,1705368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2175474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
165,825,205,2017,238747,807,679496,0,0,679496,550018,0,470989,0,470989,0,0,0,470989,208507,0,0,208507,0,0,0,208507,208507,0,0,0,0,0,679496,0,679496,470989,208507,208507,208507,0,0,0,0,208510,208507,3,0,0,0,129478,0,0,0,129478,0,5852,4220,10072,0,45861,0,93690,139551,0,0,679496,125707,0,3771,129478,0,31276,31276,0,938,32214,129478,139550,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,470989,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
166,830,206,2017,238900,706,-162072,0,12885,-174957,-174957,121800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,60732,0,0,60732,182532,182532,0,0,0,0,0,0,0,0,0,0,0,0,0,227151,0,0,0,0,0,0,0,0,0,0,0,6232,0,0,6232,0,6232,-174957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
167,835,207,2017,239197,124,190048,49501,125580,14967,14967,0,33812,0,33812,0,0,0,33812,0,0,0,0,0,0,0,0,0,,0,0,0,0,33812,0,33812,401,33411,0,0,0,0,0,0,33410,0,33410,0,0,0,9980,0,0,0,9980,420,0,0,420,0,1547,0,8850,10397,0,0,14967,2769,0,83,2852,9689,0,9689,0,291,9980,9980,10400,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
168,840,208,2017,241388,403,-79398,2055,0,-81453,-81453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-81453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
